gen,AVG,MIN,MAX
109,0.1041709,0.102502167,0.106898933
110,0.1052839,0.0744833,0.108789867
111,0.101669733,0.085744833,0.105017367
112,0.1042962,0.100241033,0.107904367
113,0.1060213,0.100166367,0.113815467
114,0.143927333,0.126776667,0.172939667
115,0.162638,0.139432333,0.178291
116,0.174492667,0.145212333,0.189012
117,0.154919667,0.141704333,0.179902667
118,0.170194,0.148296,0.18078
119,0.180743,0.168411667,0.188265
120,0.094527467,0.077986033,0.112281667
121,0.109542033,0.0897529,0.126186333
122,0.121676333,0.105474533,0.131186667
123,0.098284367,0.085209867,0.105121167
124,0.102523233,0.0940197,0.1074755
125,0.105504533,0.1005015,0.111745267
126,0.129268333,0.120359433,0.142813
127,0.137943333,0.122603333,0.1471
128,0.144680667,0.126883667,0.148430667
129,0.0738744,0.057542767,0.078024333
130,0.077428533,0.073110733,0.079668567
131,0.079229867,0.0699045,0.081424067
132,0.149902667,0.128737667,0.162429
133,0.161459,0.145639,0.183216667
134,0.174418667,0.156527333,0.192608667
135,0.058517233,0.037324767,0.0732421
136,0.0693175,0.0536094,0.079422333
137,0.0778769,0.066728033,0.083878633
138,0.156272333,0.133358667,0.177361
139,0.173615333,0.155678,0.191926333
140,0.188807667,0.171029667,0.202282333
141,0.187827,0.172750667,0.200052
142,0.198593333,0.182655333,0.213548667
143,0.209827,0.190798333,0.217756667
144,0.189110667,0.176896333,0.195331333
145,0.194827333,0.186697333,0.214045
146,0.202276333,0.188344667,0.219111667
147,0.201846333,0.172821667,0.212075333
148,0.210023333,0.192274667,0.221601
149,0.217428,0.191776333,0.221601
150,0.244090333,0.200344,0.250752
151,0.248695333,0.239048,0.252401667
152,0.251256333,0.232892667,0.255049333
153,0.0691977,0.0592,0.0859335
154,0.081857,0.065428833,0.097115667
155,0.092537533,0.078169333,0.1026764
156,0.165916333,0.120953333,0.192138
157,0.184863,0.162753667,0.198152
158,0.195998333,0.178615,0.209464333
159,0.062496033,0.052303133,0.0708429
160,0.0684307,0.060570433,0.079723567
161,0.0752296,0.06453,0.081781433
162,0.158819,0.141111,0.174583667
163,0.171009333,0.152108,0.190152333
164,0.182400667,0.166095667,0.197966
165,0.164641333,0.141911,0.188216
166,0.182102,0.158752,0.200421667
167,0.194889333,0.176065,0.202336667
168,0.077881467,0.058922333,0.0925016
169,0.090450067,0.071576333,0.097498267
170,0.098462,0.086300467,0.114549233
171,0.073673267,0.0570674,0.083621133
172,0.082083433,0.065433867,0.084845733
173,0.084375233,0.080068333,0.0877712
174,0.108915,0.103601,0.113603667
175,0.11207,0.1052252,0.118394
176,0.115944,0.098343333,0.122433
177,0.124932667,0.107187967,0.130536333
178,0.128757333,0.116892,0.13459
179,0.133319,0.126275,0.140552667
180,0.123837,0.100850633,0.148248667
181,0.146033667,0.116863333,0.169629333
182,0.161487,0.135466,0.173198
183,0.107165167,0.089577933,0.119827333
184,0.116153667,0.100794667,0.124298667
185,0.125531333,0.112309667,0.138433
186,0.128587,0.113489667,0.133807
187,0.133925667,0.119176,0.145874
188,0.141351333,0.131820333,0.148899667
189,0.122421333,0.103743433,0.130019
190,0.129304667,0.109907633,0.138898
191,0.135726,0.122498333,0.139922667
192,0.140227333,0.112074,0.166465333
193,0.161250667,0.124893333,0.180858
194,0.177130333,0.157053667,0.193329333
195,0.162136,0.138957667,0.17829
196,0.173842,0.154850333,0.183520667
197,0.185471333,0.166861667,0.207827
198,0.182364333,0.158927,0.190176333
199,0.190916,0.178453333,0.203109
200,0.197779667,0.179202,0.205875667
201,0.197589667,0.183810333,0.209695
202,0.205824,0.195131667,0.214151667
203,0.212290667,0.203186,0.221205333
204,0.088485067,0.074538167,0.110310067
205,0.1021514,0.08708,0.116111333
206,0.113228633,0.097940833,0.120099333
207,0.124206667,0.1144599,0.133227333
