,MSFT,HON,KO,XOM,GE,GM,IBM,MO,KODK,CVX,AAPL,GT,DWDP,UTX,PG,CAT,WBA,BA,IP,PFE,JNJ,MMM,MRK,DIS,HPQ,MCD,JPM,WMT,NKE,AXP,INTC,BAC,TRV,VZ,T,HD,AIG,C,CSCO,GS,MDLZ,V,UNH
AAPL,0.793318908359,0.192536084593,0.508590828604,0.508326239074,0.0700907235172,0.286106997562,0.627192871974,0.0165464980945,0.0790410103162,0.613650077182,1.0,0.100026869527,0.708696806657,0.617322538701,0.48081667927,0.640721097187,0.388188258882,0.586069916173,0.258873894648,0.551275463898,0.469797579301,0.596768088452,0.349034896929,0.596823323241,0.295253430615,0.465610623114,0.690754948542,0.322292892257,0.488626828331,0.669289167902,0.544484375084,0.290135237078,0.478049942394,0.393908119849,-7.28422441418e-05,0.636636553349,-0.0965378797066,0.281370841231,0.790148468138,0.672682833444,0.0139012767845,0.803039588478,0.528800246479
GT,0.270939836449,0.652044112082,0.342704230942,0.349225815632,0.229026136024,0.338805338216,0.274127678905,0.566328721417,0.304624183157,0.303308242219,0.100026869527,1.0,0.195952801136,0.181495376219,0.173954404883,0.315864049601,0.281916508418,0.240145775256,0.635418235992,0.257186900383,0.264275253204,0.329777191231,0.201200647188,0.26869418701,0.680914715457,0.375634851384,0.348177232754,0.222051518401,0.278569906345,0.319072256594,0.261658031758,0.587860994858,0.433444453179,0.424459507318,0.479834299365,0.316924374902,0.341233092517,0.635722020182,0.244617985338,0.288709751255,0.4733023255,0.333152896026,0.245777547738
DWDP,0.732863597008,0.24478069449,0.575941508837,0.561562414528,0.102597558005,0.465239296241,0.666716070035,0.0976839120294,-0.00795227250817,0.752459438404,0.708696806657,0.195952801136,1.0,0.643804460531,0.531482570477,0.779578220378,0.372634007305,0.633352344163,0.248615696142,0.625911685976,0.553565062296,0.749032867331,0.29584466403,0.659896323384,0.245186563725,0.524606931017,0.753286551349,0.396861059467,0.55078729883,0.742540575668,0.535765158326,0.296565025403,0.552046365499,0.477998124926,0.0943889746492,0.804279874408,0.0548273291428,0.312428356366,0.676662391198,0.672473085934,0.119717751193,0.761978992075,0.594722712815
UTX,0.59630787751,0.170752412153,0.537898795831,0.532496276715,0.0674620530547,0.23220952632,0.536941399787,0.0708859991254,0.0627994554878,0.554677310257,0.617322538701,0.181495376219,0.643804460531,1.0,0.435585091077,0.652122279205,0.39074487242,0.737915532459,0.337950837156,0.502472564528,0.50703389414,0.684586610452,0.343682283649,0.494704091241,0.309124713964,0.523651366251,0.694361366263,0.496771569528,0.519531639577,0.636568263437,0.398628337615,0.234684630531,0.561985132893,0.435811126474,0.0208057303937,0.654430085517,-0.0021548814227,0.202739935188,0.643765611117,0.583902860988,0.0815202918303,0.657503491241,0.480726914235
PG,0.381352570258,0.106910787718,0.685815594326,0.480683298241,0.201451359238,0.285454418308,0.319991045674,0.228537321131,0.0410304686805,0.454897812756,0.48081667927,0.173954404883,0.531482570477,0.435585091077,1.0,0.505242957048,0.336949829139,0.457420125613,0.165171025786,0.515574511801,0.639353917835,0.531347386628,0.455383283804,0.465684783726,0.148126528207,0.381908293761,0.440063272088,0.457087131022,0.362106092993,0.502598378082,0.232268718025,0.097520774427,0.293498932001,0.639087595404,0.191136641329,0.587754059318,-0.038710202842,0.154169689109,0.429539756434,0.478901590602,0.0598104626919,0.463527746161,0.417274934612
CAT,0.670549679859,0.258706075884,0.496240310299,0.53887502822,0.101924505575,0.450542978899,0.550784507061,0.16427210615,0.0609963241143,0.703292876573,0.640721097187,0.315864049601,0.779578220378,0.652122279205,0.505242957048,1.0,0.317386419453,0.648006376268,0.311801785305,0.482603877834,0.61821423732,0.7272748673,0.30333838213,0.565170663574,0.321992770999,0.614010690194,0.792503580099,0.377651954973,0.622533889599,0.723041083591,0.441689541863,0.387972113988,0.592144964791,0.438411618665,0.123940378176,0.73885908912,0.110128659667,0.351953260882,0.651694971304,0.691999773937,0.166820679464,0.748502500053,0.526111214929
WBA,0.518287991846,0.295323730952,0.429955672872,0.411504516224,0.0583414713911,-0.00801397182646,0.418630539665,0.232732027013,0.15591645,0.540919767687,0.388188258882,0.281916508418,0.372634007305,0.39074487242,0.336949829139,0.317386419453,1.0,0.398812615671,0.218413951655,0.549222844162,0.495134007158,0.475669312155,0.412590230763,0.489669938436,0.25361794216,0.437458149185,0.487726366375,0.410783457985,0.339992786345,0.445948379794,0.377150007926,0.122804761737,0.454165994862,0.530977959637,0.167351306404,0.566540164527,0.0965561315411,0.177135230405,0.522295066473,0.507933847885,0.0995064616392,0.533908762896,0.551132685757
BA,0.658721485927,0.262086439147,0.508664118796,0.481847005911,0.194200496657,0.294419408343,0.555544736626,0.106651217761,0.0110219770879,0.566260625462,0.586069916173,0.240145775256,0.633352344163,0.737915532459,0.457420125613,0.648006376268,0.398812615671,1.0,0.268172069958,0.5068477195,0.523866935346,0.702556952006,0.29815776405,0.468465398901,0.294110269443,0.472576413594,0.710465452665,0.377213268636,0.501769720809,0.712394357674,0.41616547371,0.33349938255,0.546138818894,0.422863122706,0.106711648047,0.685886260993,0.0946432922723,0.31526533105,0.643672796824,0.555702504093,0.0920915417603,0.717000680141,0.552320210332
IP,0.322924088051,0.616864133165,0.386941541423,0.400485568271,0.239498754138,0.458289161019,0.433144496319,0.516065102264,0.123287169889,0.274243881597,0.258873894648,0.635418235992,0.248615696142,0.337950837156,0.165171025786,0.311801785305,0.218413951655,0.268172069958,1.0,0.292356116517,0.195730956305,0.427511067726,0.264796500611,0.279251606701,0.726871131107,0.342998750857,0.388922779715,0.302800486854,0.316123714003,0.411287932915,0.341258230803,0.620114715115,0.430139326759,0.384084184085,0.496416870641,0.277293254471,0.44833660065,0.671051516445,0.331842731996,0.315969833605,0.581560573171,0.365074222382,0.415065626
PFE,0.634074974219,0.472671111116,0.688425300153,0.523149509936,0.16044143474,0.154006476364,0.681085447719,0.224870447266,0.00568373148398,0.545119480503,0.551275463898,0.257186900383,0.625911685976,0.502472564528,0.515574511801,0.482603877834,0.549222844162,0.5068477195,0.292356116517,1.0,0.727954021688,0.840513965446,0.573253418678,0.700142729441,0.331108499114,0.608413465483,0.681129296969,0.5269486001,0.510350173331,0.67952833976,0.652574012363,0.295578927276,0.599315850932,0.595441854133,0.304155339192,0.706386788627,0.118945536524,0.333473087981,0.712326908026,0.611632304084,0.175254323461,0.678677804226,0.734359184346
