gen,AVG,STD,MIN,MAX
264,0.145352667,0.001135488,0.144131333,0.147798
265,0.147054333,0.00180351,0.144913,0.150619667
266,0.149391,0.002287127,0.146208,0.153219
267,0.130985,0.01243453,0.114819333,0.155935333
268,0.150739,0.011474833,0.120888333,0.167033
269,0.163987667,0.007017047,0.139769667,0.172483667
270,0.166938,0.007431033,0.152025,0.183006
271,0.178646333,0.00945844,0.163211667,0.192791333
272,0.190845667,0.00746517,0.169599667,0.203994
273,0.0909782,0.009682707,0.0732705,0.104559067
274,0.1027768,0.00629924,0.088307133,0.116427
275,0.110847,0.00641137,0.0991709,0.124096667
276,0.0828767,0.006315033,0.0605619,0.0928987
277,0.089128233,0.004106813,0.075150267,0.0943417
278,0.093396667,0.003075717,0.079089133,0.1007432
279,0.157517667,0.01329603,0.137276,0.18477
280,0.178109667,0.016018023,0.143177667,0.19733
281,0.196537667,0.007678157,0.168142667,0.210243667
282,0.122316333,0.00493601,0.112912167,0.130305
283,0.131158667,0.008263287,0.116460733,0.144399667
284,0.140122333,0.00688662,0.123446,0.147073
285,0.149856,0.003932097,0.142764667,0.157566333
286,0.155063333,0.0038141,0.146062333,0.164643
287,0.159724667,0.006606857,0.135903667,0.168503667
288,0.147033667,0.00945861,0.128259,0.165926333
289,0.165658,0.013577227,0.140144333,0.192599
290,0.184351667,0.011356087,0.159283,0.196385
291,0.191214667,0.007947667,0.172487667,0.204628333
292,0.199473,0.00786994,0.178443,0.210371333
293,0.206859667,0.00573027,0.187321667,0.214346667
294,0.1000679,0.007608337,0.084008,0.11587
295,0.110640667,0.0074423,0.0979784,0.121591667
296,0.118099333,0.00475705,0.105939333,0.124298
297,0.080950267,0.00515626,0.067521867,0.091839
298,0.086258167,0.004371402,0.079551233,0.093912233
299,0.091470333,0.003275005,0.0825152,0.094175533
300,0.146023,0.008594013,0.123700333,0.163914667
301,0.16314,0.012065227,0.139618,0.192102667
302,0.178582667,0.01415259,0.14949,0.199659
303,0.115621333,0.010027693,0.091616433,0.129576667
304,0.125518333,0.006194827,0.1064074,0.133339
305,0.131556,0.003355907,0.120015,0.134950333
306,0.120547667,0.00574311,0.1058264,0.125740333
307,0.124863667,0.002360572,0.114093967,0.126798667
308,0.126807,0.00216055,0.12271,0.133200667
309,0.101333733,0.006188017,0.093157733,0.112202667
310,0.108893,0.005699967,0.096920867,0.116026
311,0.112637667,0.003386827,0.095506867,0.116827667
312,0.140102,0.011292903,0.123227667,0.166476333
313,0.159387,0.010987423,0.133982333,0.173520667
314,0.17288,0.00971181,0.147314,0.192407
315,0.177519,0.00944248,0.154522333,0.196799333
316,0.185624,0.00668445,0.167622667,0.198635
317,0.194144,0.007222252,0.182207,0.205227
318,0.132244667,0.006490737,0.112259333,0.140202
319,0.138978667,0.005863703,0.123356333,0.148452
320,0.146377333,0.004618217,0.133555,0.154191333
321,0.148317333,0.011701003,0.124484,0.169574667
322,0.164761333,0.009101417,0.147044667,0.177191667
323,0.175192,0.006380187,0.159649333,0.190362
324,0.169453,0.00948207,0.151421667,0.178923667
325,0.178272667,0.004623007,0.163659,0.18425
326,0.185013667,0.00644903,0.177861333,0.199337
327,0.065164867,0.004536557,0.054662833,0.0723866
328,0.072457533,0.00507282,0.061716,0.084477033
329,0.079291867,0.006102483,0.0635307,0.0881674
330,0.156018,0.016391247,0.127224333,0.177192
331,0.175095333,0.013392133,0.139277333,0.197065
332,0.187479667,0.007593613,0.170034,0.198149333
333,0.190180667,0.005998603,0.169073667,0.199656667
334,0.196823333,0.004090977,0.184851667,0.202705667
335,0.200613667,0.00400106,0.182418,0.204532333
336,0.070554533,0.005574517,0.061403833,0.0844927
337,0.080152367,0.00675724,0.0678654,0.0928042
338,0.088147633,0.006664763,0.074338067,0.100679667
339,0.081997933,0.005053037,0.0636828,0.087975
