gen,AVG,MIN,MAX
373,0.279197667,0.259807,0.286346667
374,0.285937,0.277314,0.291727333
375,0.0947369,0.091933933,0.096354967
376,0.095996767,0.094645133,0.0968431
377,0.096765433,0.0953686,0.0980134
378,0.329972,0.323034333,0.336674
379,0.335467667,0.329750333,0.339902
380,0.339549667,0.334917333,0.347281
381,0.073433067,0.0724935,0.0747786
382,0.0744932,0.073023433,0.075352433
383,0.075274367,0.0740488,0.076079567
384,0.330231,0.321441,0.337869667
385,0.336510333,0.329743667,0.341156
386,0.341117667,0.33377,0.351041333
387,0.297424667,0.288821333,0.305906667
388,0.304849667,0.297354333,0.311944
389,0.309642333,0.302456667,0.313520333
390,0.048202067,0.046904033,0.0487929
391,0.048730233,0.047926067,0.049371367
392,0.0493047,0.048531167,0.0498675
393,0.1047277,0.102746067,0.106032033
394,0.105560333,0.104574,0.106907367
395,0.106593067,0.105372267,0.108329033
396,0.321996,0.316338667,0.327906333
397,0.327518667,0.319776667,0.339202667
398,0.335923,0.324441333,0.341183667
399,0.103740233,0.1014724,0.105653
400,0.105146467,0.103397367,0.106462
401,0.106024067,0.1045392,0.106646333
402,0.136484,0.135119,0.138459667
403,0.138147,0.135947,0.139446333
404,0.13962,0.137710333,0.141222
405,0.170111,0.166601333,0.172049
406,0.171787333,0.169606333,0.173694
407,0.173369667,0.171289,0.174773
408,0.175117667,0.172358667,0.177325333
409,0.177058,0.174766667,0.179386333
410,0.179087333,0.176207667,0.181484667
411,0.083554867,0.082511433,0.0847925
412,0.084607367,0.083254567,0.085510267
413,0.0854355,0.0839366,0.087144967
414,0.111837333,0.109931667,0.112847667
415,0.112899667,0.111786667,0.114602
416,0.114082,0.112802667,0.115192667
417,0.071574667,0.069803267,0.071922367
418,0.071947967,0.071474333,0.072522633
419,0.0724023,0.0718376,0.073638467
420,0.140052667,0.1389,0.141302667
421,0.141034667,0.139462333,0.142423333
422,0.141982333,0.140127667,0.142466333
423,0.068138933,0.067112767,0.068801233
424,0.068685667,0.0679523,0.069532533
425,0.0691657,0.0684117,0.069684967
426,0.256484333,0.250340333,0.265369667
427,0.262007,0.255845333,0.267783333
428,0.267401667,0.259447667,0.275708667
429,0.186319333,0.180648333,0.189116667
430,0.188502667,0.184879,0.190084333
431,0.190053667,0.187408,0.192407667
432,0.282670667,0.274798333,0.289379333
433,0.288023667,0.281094,0.293124667
434,0.293025333,0.286147667,0.298409
435,0.0669436,0.064604733,0.067682333
436,0.067521767,0.0667861,0.0680781
437,0.068110033,0.067071833,0.069138
438,0.055795033,0.054962933,0.0567404
439,0.056530467,0.055374,0.0572639
440,0.057214867,0.056305967,0.0581329
441,0.241681333,0.231513667,0.251024333
442,0.250516667,0.240398333,0.259229333
443,0.258256667,0.247195,0.265214667
444,0.067034533,0.065094533,0.067927233
445,0.067788133,0.066651567,0.0685053
446,0.0684327,0.067541967,0.069284433
447,0.098802767,0.095778267,0.1007796
448,0.100148933,0.097871167,0.100900933
449,0.100902367,0.099464,0.101879033
450,0.0749023,0.073658967,0.075864833
451,0.0756741,0.074525967,0.076748433
452,0.076584467,0.075326267,0.077871767
453,0.265091667,0.243942,0.276000667
454,0.273925667,0.264477,0.285447
455,0.282972,0.273606333,0.295155667
456,0.236458333,0.227746333,0.241123333
457,0.241286333,0.234919333,0.245072
458,0.244997,0.241078667,0.248701
459,0.076477933,0.074564667,0.078209967
460,0.077680833,0.075981633,0.0789463
461,0.078687633,0.077147367,0.079695867
462,0.070765533,0.069081233,0.071184967
463,0.071191533,0.070375233,0.0722627
464,0.0718218,0.071049667,0.072788567
465,0.221725667,0.213376333,0.233082333
466,0.229399333,0.218726333,0.237523667
467,0.235426667,0.228906,0.244239667
468,0.249288,0.240425333,0.255541667
469,0.256105667,0.247396333,0.264048667
470,0.262739667,0.254695667,0.270710333
471,0.070948567,0.067105567,0.0725029
472,0.0720931,0.069798267,0.072583333
473,0.0725737,0.071834667,0.073386267
474,0.150518333,0.147336,0.153558667
475,0.152714667,0.149624333,0.153948667
476,0.154106333,0.150711667,0.155980667
477,0.260753333,0.254005333,0.265452667
478,0.264736333,0.259522,0.268264667
